date,country,region,variant,daily_new_cases,daily_deaths,daily_recovered,active_cases,tests_conducted,positivity_rate,hospitalization_rate,icu_patients,vaccination_rate,stringency_index,reproduction_number
2020-01-26,Argentina,South America,Original,4,0,3.0,48,40.0,0.0913,0.1202,1.0,0.0,18.09,0.428
2020-02-01,Argentina,South America,Original,5,0,4.0,52,35.0,0.1444,0.1737,2.0,0.0,10.03,0.84
2020-02-01,Argentina,South America,Original,1,0,0.0,11,12.0,0.1172,0.1825,0.0,0.0,14.94,0.957
2020-02-02,Argentina,South America,Original,1,0,0.0,12,11.0,0.0796,0.1213,0.0,0.0,9.17,1.237
2020-02-02,Argentina,South America,Original,2,0,1.0,22,12.0,0.1546,0.1991,1.0,0.0,10.59,1.021
2020-02-06,Argentina,South America,Original,5,0,4.0,76,55.0,0.0942,0.1295,2.0,0.0,10.59,1.111
2020-02-07,Argentina,South America,Original,1,0,0.0,14,11.0,0.0939,0.1403,0.0,0.0,16.31,1.048
2020-02-08,Argentina,South America,Original,2,0,1.0,33,14.0,0.135,0.1908,1.0,0.0,0.0,0.84
2020-02-23,Argentina,South America,Original,1,0,0.0,16,8.0,0.1078,0.1696,0.0,0.0,97.74,0.4
2020-02-27,Argentina,South America,Original,1,0,0.0,10,6.0,0.1743,0.1697,0.0,0.0,82.67,0.4
2020-03-04,Argentina,South America,Original,2,0,1.0,30,14.0,0.1444,0.1407,1.0,0.0,71.79,0.4
2020-03-05,Argentina,South America,Original,2,0,1.0,21,12.0,0.1172,0.1045,0.0,0.0,71.79,0.428
2020-03-07,Argentina,South America,Original,1,0,0.0,18,10.0,0.0974,0.1877,0.0,0.0,67.82,0.407
2020-03-07,Argentina,South America,Original,1,0,0.0,13,12.0,0.1172,0.2017,1.0,0.0,78.63,0.4
2020-03-07,Argentina,South America,Original,3,0,2.0,53,24.0,0.1136,0.1615,2.0,0.0,85.43,0.4
2020-03-08,Argentina,South America,Original,1,0,0.0,14,12.0,0.1172,0.2069,0.0,0.0,85.43,0.428
2020-03-09,Argentina,South America,Original,1,0,0.0,12,9.0,0.1162,0.1473,0.0,0.0,85.43,0.4
2020-03-09,Argentina,South America,Original,2,0,1.0,29,12.0,0.1172,0.1461,1.0,0.0,68.27,0.4
2020-03-11,Argentina,South America,Original,3,0,2.0,44,12.0,0.1172,0.1443,1.0,0.0,64.84,0.4
2020-03-12,Argentina,South America,Original,14,0,12.0,158,126.0,0.1188,0.1118,4.0,0.0,71.39,0.4
2020-03-12,Argentina,South America,Original,3,0,2.0,33,27.0,0.1046,0.1063,1.0,0.0,72.12,0.4
2020-03-15,Argentina,South America,Original,4,0,3.0,63,40.0,0.1164,0.1461,2.0,0.0,91.25,0.4
2020-03-20,Argentina,South America,Original,4,0,3.0,49,40.0,0.0949,0.1197,1.0,0.0,71.69,0.4
2020-03-20,Argentina,South America,Original,2,0,1.0,29,16.0,0.1221,0.1328,0.0,0.0,76.29,0.4
2020-03-25,Argentina,South America,Original,26,1,24.0,386,234.0,0.1028,0.1707,16.0,0.0,86.89,0.4
2020-03-28,Argentina,South America,Original,1,0,0.0,15,12.0,0.1172,0.1848,0.0,0.0,77.43,0.4
2020-03-31,Argentina,South America,Original,1,0,0.0,11,12.0,0.1172,0.1548,0.0,0.0,77.43,0.4
2020-04-04,Argentina,South America,Original,11,0,9.0,190,110.0,0.0891,0.1461,9.0,0.0,77.93,0.4
2020-04-07,Argentina,South America,Original,1,0,0.0,10,11.0,0.0893,0.17,0.0,0.0,77.47,0.4
2020-04-09,Argentina,South America,Original,3,0,2.0,53,30.0,0.1156,0.1119,1.0,0.0,70.23,0.4
2020-04-10,Argentina,South America,Original,18,0,16.0,230,12.0,0.1172,0.152,7.0,0.0,64.18,0.4
2020-04-15,Argentina,South America,Original,1,0,0.0,12,12.0,0.1172,0.1313,0.0,0.0,84.51,0.4
2020-04-17,Argentina,South America,Original,22,1,20.0,274,220.0,0.1228,0.143,9.0,0.0,87.24,0.4
2020-04-18,Argentina,South America,Original,1,0,0.0,11,12.0,0.1172,0.207,0.0,0.0,77.68,0.4
2020-04-18,Argentina,South America,Original,1,0,0.0,17,12.0,0.1172,0.1656,1.0,0.0,85.92,0.4
2020-04-20,Argentina,South America,Original,1,0,0.0,17,12.0,0.1172,0.1178,0.0,0.0,69.17,0.416
2020-04-24,Argentina,South America,Original,1,0,0.0,13,9.0,0.1031,0.1036,0.0,0.0,68.99,0.426
2020-04-24,Argentina,South America,Original,4,0,3.0,41,40.0,0.104,0.2073,2.0,0.0,88.52,0.4
2020-04-24,Argentina,South America,Original,3,0,2.0,48,24.0,0.141,0.1442,1.0,0.0,81.21,0.4
2020-04-24,Argentina,South America,Original,4,0,3.0,65,12.0,0.1172,0.1467,2.0,0.0,76.83,0.4
2020-04-26,Argentina,South America,Original,6,0,5.0,105,12.0,0.1172,0.1461,3.0,0.0,71.18,0.4
2020-04-28,Argentina,South America,Original,4,0,3.0,54,36.0,0.1198,0.1418,2.0,0.0,71.18,0.4
2020-05-01,Argentina,South America,Original,6,0,5.0,64,12.0,0.1172,0.1461,2.0,0.0,69.62,0.4
2020-05-03,Argentina,South America,Original,1,0,0.0,13,6.0,0.1567,0.1627,0.0,0.0,63.88,0.4
2020-05-06,Argentina,South America,Original,1,0,0.0,11,12.0,0.1172,0.1436,0.0,0.0,52.26,0.598
2020-05-08,Argentina,South America,Original,1,0,0.0,10,9.0,0.1132,0.1654,0.0,0.0,45.94,0.697
2020-05-10,Argentina,South America,Original,1,0,0.0,12,12.0,0.1172,0.2026,1.0,0.0,61.12,0.404
2020-05-10,Argentina,South America,Original,7,0,6.0,123,70.0,0.1,0.0974,3.0,0.0,67.5,0.4
2020-05-11,Argentina,South America,Original,2,0,1.0,26,18.0,0.1198,0.1688,0.0,0.0,64.78,0.402
2020-05-15,Argentina,South America,Original,2,0,1.0,33,12.0,0.1172,0.1462,1.0,0.0,52.06,0.649
2020-05-20,Argentina,South America,Original,1,0,0.0,17,6.0,0.182,0.1235,0.0,0.0,66.34,0.405
2020-05-21,Argentina,South America,Original,4,0,3.0,70,40.0,0.1003,0.1384,1.0,0.0,53.65,0.49
2020-05-25,Argentina,South America,Original,1,0,0.0,10,9.0,0.1103,0.1394,0.0,0.0,53.65,0.428
2020-05-26,Argentina,South America,Original,1,0,0.0,18,9.0,0.1243,0.1318,0.0,0.0,48.88,0.409
2020-05-29,Argentina,South America,Original,11,0,10.0,140,88.0,0.1155,0.1461,4.0,0.0,71.26,0.4
