date,country,region,variant,daily_new_cases,daily_deaths,daily_recovered,active_cases,tests_conducted,positivity_rate,hospitalization_rate,icu_patients,vaccination_rate,stringency_index,reproduction_number
01-02-2020,Mexico,North America,Original,23,1,21,415,,,0.177,19,0,,0.619
01-02-2022,Australia,Oceania,Omicron BA.2,3,0,2,49,54,0.0454,0.0507,0,0.56,,1.19
19-12-2022,India,Asia,Omicron BA.2,89,0,85,1206,623,0.1576,0.0422,8,0.6489,28.52,2.049
19-02-2020,Brazil,South America,Original,24,1,21,271,264,0.0735,0.0959,6,0,14.51,0.84
19-07-2022,Argentina,South America,Omicron BA.2,4,0,,53,40,0.1021,0.0721,0,0.4935,25.93,2.303
13-03-2020,Turkey,Asia,Original,22,0,20,273,220,0.1081,0.1179,6,0,75.14,0.4
25-10-2022,Japan,Asia,Omicron BA.2,1,0,0,17,14,0.0787,,0,0.92,8.83,1.869
01-07-2021,Argentina,South America,Delta,1,0,0,11,8,0.113,0.1396,0,0.1694,71.4,0.554
07-03-2021,South Africa,Africa,Alpha,2,0,1,24,6,0.3411,0.1758,,0.0267,70.51,0.467
29-07-2020,UK,Europe,Original,1,0,0,14,19,0.0337,,0,,74.42,
11-11-2021,Spain,Europe,Omicron,5,0,4,51,65,0.0834,0.0393,0,0.4373,47.26,1.077
27-06-2021,Turkey,Asia,Delta,1,0,0,16,9,0.1181,0.1924,0,0.1612,55.01,0.673
06-11-2020,USA,North America,Original,9,0,8,101,180,0.0671,0.1704,2,0,40.86,0.567
03-08-2020,Argentina,South America,Original,5,0,4,62,35,0.1634,0.1383,1,0,58.18,0.476
23-07-2020,Germany,Europe,Original,5,0,4,74,105,0.0551,,3,0,59.62,0.477
23-01-2020,South Korea,Asia,Original,6,0,5,63,96,0.0687,0.1947,2,0,7.05,0.768
03-05-2022,Japan,Asia,Omicron BA.2,90,0,,1372,1530,0.0554,,19,0.6858,12.53,1.295
12-06-2020,USA,North America,Original,10,0,9,141,130,0.0669,0.1572,4,0,50.84,0.519
02-12-2021,Spain,Europe,Omicron,2,0,1,22,28,0.0754,0.0675,0,0.4546,40.84,1.193
04-08-2022,Pakistan,Asia,Omicron BA.2,49,1,46,553,196,0.2466,0.0435,4,0.2914,33.93,2
23-08-2022,France,Europe,Omicron BA.2,6,0,5,62,132,0.0367,0.0312,0,0.8318,10.81,1.401
23-11-2021,Germany,Europe,Omicron,7,0,6,112,91,0.0853,0.0401,0,0.448,40.95,1.249
29-12-2021,Spain,Europe,Omicron,1,0,0,16,16,0.0844,0.0749,0,0.4991,48.82,0.695
26-05-2021,India,Asia,Delta,108,2,102,1072,756,0.129,0.2222,,0.1324,54.9,
09-01-2021,Argentina,South America,Alpha,19,1,17,235,190,0.1056,,,,54.2,0.809
27-10-2020,UK,Europe,Original,1,0,0,15,13,0.0772,0.1678,0,,50.98,0.621
08-03-2022,South Korea,Asia,Omicron BA.2,20,0,18,253,300,0.0791,0.0487,1,0.5932,30.9,1.798
22-11-2022,France,Europe,Omicron BA.2,24,0,,418,360,0.850716448,0.0382,3,0.92,24.57,1.266
07-11-2021,Indonesia,Asia,Omicron,43,1,39,743,129,0.3323,0.0511,,,64.41,
02-03-2020,South Africa,Africa,Original,2,0,1,34,,,0.1489,,,87.86,0.4
11-02-2022,Japan,Asia,Omicron,11,0,10,173,253,0.0382,,2,0.5572,32.22,1.475
11-09-2020,Indonesia,Asia,Original,2,0,1,21,8,0.892312184,0.1262,,,41.2,0.67
15-01-2021,France,Europe,Alpha,3,0,2,52,69,0.0419,0.1309,1,,79.62,0.4
21-07-2020,Spain,Europe,Original,7,0,6,68,105,0.0546,0.1544,2,0,47.59,0.667
02-10-2020,Mexico,North America,Original,5,0,4,56,30,0.1767,0.1513,,0,35.91,0.603
03-12-2021,Mexico,North America,Omicron,53,1,49,841,583,0.0811,0.0533,8,0.2869,35.02,1.36
08-10-2020,Spain,Europe,Original,1,0,0,11,23,0.0601,0.1952,0,0,34.4,0.848
07-06-2020,Mexico,North America,Original,22,1,20,283,198,0.0954,0.136,6,0,68.4,0.4
11-05-2022,Italy,Europe,Omicron BA.2,1,0,0,17,18,0.0413,0.0266,0,0.7044,10,1.7
07-08-2022,Argentina,South America,Omicron BA.2,2,0,1,35,20,0.1079,0.066,0,0.5327,33.63,1.168
16-10-2021,Canada,North America,Omicron,1,0,0,11,16,0.0679,0.0839,0,0.3932,48.72,0.996
15-11-2022,Germany,Europe,Omicron BA.2,13,0,,163,195,0.0589,0.0322,1,0.92,17.43,1.236
04-08-2020,Argentina,South America,Original,1,0,0,15,10,0.1104,0.098,0,0,69.48,0.4
14-11-2021,Argentina,South America,Omicron,9,0,8,137,99,0.1085,0.0508,1,0.2786,48.79,0.834
14-12-2021,Russia,Europe,Omicron,80,1,76,1084,560,0.1314,0.0616,15,0.3068,43.69,1.569
29-06-2021,Brazil,South America,Delta,29,1,26,447,232,0.1211,0.2248,27,0.1561,80.8,0.4
17-09-2022,Italy,Europe,Omicron BA.2,5,0,,58,100,0.0357,0.0267,0,0.8576,26.71,1.707
28-02-2021,India,Asia,Alpha,50,1,48,525,500,0.1038,0.1252,,,45.11,0.755
